Country,ISO3,indicateur_perf_logistique,pib_par_hab,stab_politique,population,tx_urbanisation,tarif_douanier_moyen,emissions_agri_pc,organic_share,hfce_per_capita_usd_const2015
Post-demographic dividend,PST,3.60555555555556,61715.3694719293,,1117926537.0,82.0738786885386,,,,27237.7144208656
French Polynesia,PYF,,,,280378.0,62.17,,,0.8,
Qatar,QAT,3.5,122920.498759404,0.960249304771423,2657333.0,99.318,3.98,86.43144,,
,REU,,,,,,,,5.25,
Romania,ROU,3.2,42217.9204497701,0.431136310100555,19048502.0,54.489,1.95,343.82413,5.08,8347.35038334735
Russian Federation,RUS,2.6,40938.98828125,-1.00599670410156,144236933.0,75.126,,332.05136,0.09,5457.3486328125
Rwanda,RWA,2.8,3098.67700634994,0.082752451300621,13651030.0,17.721,11.87,91.568214,0.25,701.452535242938
South Asia,SAS,2.825,9129.6017328325,,1648009565.0,35.7853207636492,,,,1292.60989835056
Saudi Arabia,SAU,3.4,71968.074955888,-0.355806291103363,32175224.0,84.729,5.96,159.74962,0.01,11773.5976594858
Sudan,SDN,2.4,3355.37817382813,-2.0769202709198,49383346.0,35.956,,507.25604,0.06,883.330383300781
Senegal,SEN,,4530.22059496055,-0.157593667507172,17651103.0,49.086,12.75,283.2685,0.04,964.525046205988
Singapore,SGP,4.3,143094.949896959,1.44037234783173,5637022.0,100.0,0.05,1.7699466,2.27,23670.1706710636
Solomon Islands,SLB,2.8,2697.4404319711,0.413905620574951,781066.0,25.584,11.9,12.802868,6.33,1060.44020914806
Sierra Leone,SLE,,3146.79294389687,-0.0945132076740265,8276807.0,43.831,13.61,129.27689,4.93,1191.39250279725
El Salvador,SLV,2.7,11875.9648066233,-0.352474838495255,6280319.0,74.767,3.09,101.9057,0.17,3410.58169536922
San Marino,SMR,,75941.4899090162,1.18703246116638,33755.0,97.732,,,,19264.1349519898
"Somalia, Fed. Rep.",SOM,2.0,1486.75765710824,-2.42969608306885,17801897.0,47.324,,305.0237,,582.981068351215
